0000;001f;17
0020;;17
0024;;24
0027;;18
0028;;22
002D;;18
002F;;18
0021;002F;23
0030;0039;15
003C;;22
003A;003F;23
0040;;18
0041;005A;18
005B;;22
005E;;18
005F;;18
005B;005F;23
0060;;18
0061;007A;18
007B;;22
007B;007E;23
00A0;;24
00A3;;22
00A5;;22
00A9;;18
00AA;;18
00AB;;18
00AC;;22
00AE;;18
00AF;;18
00A1;00BF;23
00B0;;18
00F7;;23
00C0;00FF;18
0E3F;;1
0E2F;;4
0E46;;4
0E5A;0E5B;4
0E50;0E59;15
0E4F;;18
0EAF;;4
0EC6;;4
0ED0;0ED9;15
1735;1736;1
17D4;17D5;4
17D8;;4
17DA;;4
1780;17DD;21
17E0;17E9;21
17F0;17F9;21
2007;;24
2000;200B;17
200C;200F;18
2010;;18
2011;;24
2012;2013;18
2014;;7
2015;;18
2016;2017;18
2019;;23
201D;;23
2018;201F;18
2020;2023;18
2024;2026;2
2027;;23
2028;202E;18
202F;;24
2030;2034;9
2035;2038;18
2039;;1
203A;;2
203B;;12
203C;203D;3
203E;;23
203F;2043;18
2044;;3
2045;;1
2046;;2
2047;2049;3
204A;205E;18
205F;;17
2060;;24
2061;2063;18
206A;206F;18
2070;2071;18
2074;208E;18
2090;2094;18
2116;;8
2160;217F;12
2190;21EA;a12
2126;;18
2100;2138;18
2153;2182;18
2190;21EA;18
3008;;1
300A;;1
300C;;1
300E;;1
3010;;1
3014;;1
3016;;1
3018;;1
301A;;1
301D;;1
3001;;2
3009;;2
300B;;2
300D;;2
300F;;2
3011;;2
3015;;2
3017;;2
3019;;2
301B;;2
301E;;2
301F;;2
3005;;3
301C;;3
3041;;3
3043;;3
3045;;3
3047;;3
3049;;3
3063;;3
3083;;3
3085;;3
3087;;3
308E;;3
309D;;3
309E;;3
30A1;;3
30A3;;3
30A5;;3
30A7;;3
30A9;;3
30C3;;3
30E3;;3
30E5;;3
30E7;;3
30EE;;3
30F5;;3
30F6;;3
30FC;;3
30FD;;3
30FE;;3
30FB;;5
3002;;6
3000;;10
3042;3094;11
3099;309E;3
3003;;12
3004;;12
3006;;12
3007;;12
3012;;12
3013;;12
3020;;12
3036;;12
30A2;30FA;12
